股票代码,股票名称,信号日,实际买入日,买入价,买点,MA5,MA10,MA20,MA60,20日动量,60日动量,换手率,入场评分,条件复核,买入原因,卖出日,卖出价,卖出原因,持仓日数,收益率,盈亏,盈亏金额
301396.SZ,宏景科技,2026-04-01,2026-04-02,126.0784,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,116.8528,115.8187,105.1825,76.2419,0.7999,1.777227,1050.460327,57.16,True,MA5>MA10>MA20>MA60；20日动量79.99%；当日评分57.16，评分排序最多持4只,2026-04-07,115.9921,8%固定止损,2,-0.081287,亏损,-17434.72
600396.SH,华电辽能,2026-04-01,2026-04-02,7.46,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,8.366,7.659,5.8565,3.9973,1.285714,1.54054,1952.388306,71.85,True,MA5>MA10>MA20>MA60；20日动量128.57%；当日评分71.85，评分排序最多持4只,2026-04-10,6.8632,8%固定止损,5,-0.081287,亏损,-20146.63
603538.SH,美诺华,2026-04-01,2026-04-02,27.3969,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,28.2563,24.2112,20.5865,16.8327,0.958169,1.020823,2598.021973,60.92,True,MA5>MA10>MA20>MA60；20日动量95.82%；当日评分60.92，评分排序最多持4只,2026-04-03,28.9037,5.5%固定止盈,1,0.053524,盈利,12766.55
000890.SZ,法尔胜,2026-04-02,2026-04-03,15.56,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,14.988,13.987,12.5045,8.0913,0.737705,2.069498,2333.209717,74.9,True,MA5>MA10>MA20>MA60；20日动量73.77%；当日评分74.90，评分排序最多持4只,2026-04-07,17.61,5.5%固定止盈,1,0.130165,盈利,32225.82
002309.SZ,中利集团,2026-04-03,2026-04-07,5.03,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,4.848,4.718,4.1235,3.4988,0.445402,0.492582,4268.95166,53.68,True,MA5>MA10>MA20>MA60；20日动量44.54%；当日评分53.68，评分排序最多持4只,2026-04-09,4.6276,8%固定止损,2,-0.081287,亏损,-18289.47
300834.SZ,星辉环材,2026-04-03,2026-04-07,45.1496,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,36.2914,29.6237,27.3438,25.4891,0.889203,1.053626,1880.109741,60.71,True,MA5>MA10>MA20>MA60；20日动量88.92%；当日评分60.71，评分排序最多持4只,2026-04-09,41.5377,8%固定止损,2,-0.081287,亏损,-19832.32
603538.SH,美诺华,2026-04-03,2026-04-07,29.0261,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,29.3263,26.2864,21.989,17.3471,0.792918,1.053388,2661.751709,62.96,True,MA5>MA10>MA20>MA60；20日动量79.29%；当日评分62.96，评分排序最多持4只,2026-04-08,30.7619,5.5%固定止盈,1,0.058321,盈利,14399.18
000890.SZ,法尔胜,2026-04-07,2026-04-08,15.85,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,16.05,14.721,13.2875,8.4812,0.976431,2.473373,1126.352051,79.62,True,MA5>MA10>MA20>MA60；20日动量97.64%；当日评分79.62，评分排序最多持4只,2026-04-10,14.582,8%固定止损,2,-0.081287,亏损,-21015.63
000720.SZ,新能泰山,2026-04-08,2026-04-09,6.5,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,5.896,5.497,4.785,4.0848,0.502242,1.042683,3477.02832,65.92,True,MA5>MA10>MA20>MA60；20日动量50.22%；当日评分65.92，评分排序最多持4只,2026-04-10,5.8,8%固定止损,1,-0.108941,亏损,-26147.7
301396.SZ,宏景科技,2026-04-08,2026-04-09,134.2076,信号日收盘确认，下一交易日开盘买入（含5bps滑点）,124.4054,119.5143,114.7256,81.3622,0.64502,1.840487,1279.022583,64.54,True,MA5>MA10>MA20>MA60；20日动量64.50%；当日评分64.54，评分排序最多持4只,2026-04-10,148.7247,5.5%固定止盈,1,0.106618,盈利,24342.29
